Date,Amount,Description,Category
2025-02-04,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-02-06,11.62,SAMS CLUB #8276,shopping
2025-02-06,15.89,BLIZZARD *US994872528,shopping
2025-02-11,10.65,APPLE.COM/BILL,bills
2025-02-11,42.40,"ETSY, INC.",shopping
2025-02-11,31.25,INTEREST CHARGE:PURCHASES,bills
2025-02-13,15.03,PENN STATION - 93,shopping
2025-02-14,11.33,Subway 21369,fastfood
2025-02-15,36.53,KROGER FUEL #8785,groceries
2025-02-15,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-02-18,110.27,KY JEFFERSON COUNTY CLERK,shopping
2025-02-19,-25.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-02-20,6.28,WM SUPERCENTER #4524,shopping
2025-02-21,-150.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-02-22,9.53,PAYPAL *PADDLE.NET,shopping
2025-02-22,-5.89,Refund: CREDIT-CASH BACK REWARD,shopping
2025-02-23,31.78,SAMSCLUB #8276,groceries
2025-02-23,15.89,BLIZZARD *US996496805,shopping
2025-02-26,5.29,PAYPAL *STEAM GAMES,entertainment
2025-02-27,2.97,OCULUS *ZGFYMKQ5Z2,shopping
2025-02-28,0.99,APPLE.COM/BILL,bills
2025-03-01,-0.67,Refund: CREDIT-CASH BACK REWARD,shopping
2025-03-01,-300.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-03-02,1.05,PAYPAL *EPIC GAMES,shopping
2025-03-02,10.59,PAYPAL *EPIC GAMES,shopping
2025-03-02,0.52,PAYPAL *EPIC GAMES,shopping
2025-03-02,0.78,PAYPAL *EPIC GAMES,shopping
2025-03-02,1.05,PAYPAL *EPIC GAMES,shopping
2025-03-03,5.29,PAYPAL *EPIC GAMES,shopping
2025-03-03,14.60,CINEMARK 1092 ONLINE,entertainment
2025-03-03,-201.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-03-03,500.00,Venmo Payment,shopping
2025-03-03,300.00,Venmo Payment,shopping
2025-03-05,52.99,PAYPAL *STEAM GAMES,entertainment
2025-03-05,-138.62,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-03-06,15.89,BLIZZARD *US997696273,shopping
2025-03-07,1.05,PAYPAL *EPIC GAMES,shopping
2025-03-07,2.11,PAYPAL *EPIC GAMES,shopping
2025-03-07,0.52,PAYPAL *EPIC GAMES,shopping
2025-03-07,0.52,PAYPAL *EPIC GAMES,shopping
2025-03-07,444.77,GEICO  *AUTO,bills
2025-03-07,5.32,APPLE.COM/BILL,bills
2025-03-09,-129.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-03-10,32.27,KROGER FUEL #8785,groceries
2025-03-10,-5.65,Refund: CREDIT-CASH BACK REWARD,shopping
2025-03-11,10.65,APPLE.COM/BILL,bills
2025-03-13,-31.78,Refund: SAMS CLUB #8276,shopping
2025-03-14,32.06,INTEREST CHARGE:PURCHASES,bills
2025-03-19,8.35,WAL-MART #4524,groceries
2025-03-20,3.18,APPLE.COM/BILL,bills
2025-03-22,9.53,PAYPAL *PADDLE.NET,shopping
2025-03-22,62.06,SAMSCLUB #8276,groceries
2025-03-23,1.05,PAYPAL *EPIC GAMES,shopping
2025-03-23,5.29,PAYPAL *EPIC GAMES,shopping
2025-03-24,15.89,PAYPAL *EPIC GAMES,shopping
2025-03-24,5.29,PAYPAL *EPIC GAMES,shopping
2025-03-25,9.32,PRP ICE CREAM CORNER,shopping
2025-03-25,10.59,PAYPAL *EPIC GAMES,shopping
2025-03-25,1.05,PAYPAL *EPIC GAMES,shopping
2025-03-25,37.79,KROGER FUEL #8785,groceries
2025-03-25,6.97,KROGER #785,groceries
2025-03-25,25.90,AMAZON MKTPL*1B7W00KL3,shopping
2025-03-25,29.28,Amazon.com*DF4VD4EM3,shopping
2025-03-25,12.18,Amazon.com*2X0NC6693,shopping
2025-03-25,18.91,TST* ROOSTERS  - DIXIE HW,fastfood
2025-03-26,7.41,Amazon.com*351ZP3DK3,shopping
2025-03-27,1.38,THORNTONS #0056,transport
2025-03-28,9.54,CARTER'S #1428,shopping
2025-03-28,6.25,CIRCLE K 03228,transport
2025-03-28,13.56,SQ *RUBY THAI KITCHEN,shopping
2025-03-28,-2.80,Refund: CREDIT-CASH BACK REWARD,shopping
2025-03-29,18.00,ARBYS 0085,fastfood
2025-03-29,1.05,PAYPAL *EPIC GAMES,shopping
2025-03-29,0.52,PAYPAL *EPIC GAMES,shopping
2025-03-29,0.52,PAYPAL *EPIC GAMES,shopping
2025-03-29,0.52,PAYPAL *EPIC GAMES,shopping
2025-03-29,0.99,APPLE.COM/BILL,bills
2025-03-30,5.18,SAMS CLUB #8276,shopping
2025-03-30,12.68,SAMS CLUB #8276,shopping
2025-03-31,3.99,KROGER #785,groceries
2025-04-01,70.79,WM SUPERCENTER #5417,shopping
2025-04-01,29.19,TST* ROOSTERS  - DIXIE HW,fastfood
2025-04-01,-300.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-04-02,1.05,PAYPAL *EPIC GAMES,shopping
2025-04-02,86.56,Target Card Srvc Payment,shopping
2025-04-02,500.00,Venmo Payment,shopping
2025-04-02,300.00,Venmo Payment,shopping
2025-04-03,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-04-04,2.11,PAYPAL *MICROSOFT,shopping
2025-04-04,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-04-04,-1.77,Refund: CREDIT-CASH BACK REWARD,shopping
2025-04-05,5.29,PAYPAL *EPIC GAMES,shopping
2025-04-05,10.59,PAYPAL *EPIC GAMES,shopping
2025-04-07,5.71,SSA LOUISVILLE ZOO,shopping
2025-04-07,26.72,Wal Mart 4524,groceries
2025-04-07,49.78,Wal Mart 4524,groceries
2025-04-08,1.05,PAYPAL *EPIC GAMES,shopping
2025-04-08,35.49,Kroger Fu 4915 Dixie H,groceries
2025-04-08,7.08,Lowe S 705,shopping
2025-04-09,252.25,WAL-MART #5417,groceries
2025-04-10,7.51,Circle K 03228 5203 Gr,transport
2025-04-11,9.04,PRP ICE CREAM CORNER,shopping
2025-04-11,10.65,APPLE.COM/BILL,bills
2025-04-11,15.46,APPLE.COM/BILL,bills
2025-04-12,10.99,PAYPAL *RIOTGAMESIN,shopping
2025-04-12,32.07,INTEREST CHARGE:PURCHASES,bills
2025-04-13,34.92,THE HOME DEPOT #2302,shopping
2025-04-13,29.80,WAL-MART #4524,groceries
2025-04-14,10.87,KROGER #785,groceries
2025-04-14,39.26,KROGER #785,groceries
2025-04-14,-29.28,Refund: Amazon.com,shopping
2025-04-14,14.19,Wendy S 802 Cave City * Ky,fastfood
2025-04-15,42.89,KROGER #785,groceries
2025-04-15,20.00,Venmo Payment,shopping
2025-04-15,45.54,Venmo Payment,shopping
2025-04-16,1.04,JIMMY JOHNS - 4387,fastfood
2025-04-16,40.74,KROGER FUEL #8785,groceries
2025-04-16,6.25,Circle K 03228 5203 Gr,transport
2025-04-16,25.14,Wm Superc Wal Mart Sup,groceries
2025-04-17,13.48,SAMS CLUB #8276,shopping
2025-04-17,5.30,SAMS CLUB #8276,shopping
2025-04-18,16.62,PAPA JOHNS #16,shopping
2025-04-19,1.05,CIRCLE K 03228,transport
2025-04-20,25.00,NATIONAL MULTIPLE SCLEROS,shopping
2025-04-21,9.32,CIRCLE K 03228,transport
2025-04-21,20.98,PAYPAL *STEAM GAMES,entertainment
2025-04-22,24.03,MEIJER STORE #162,groceries
2025-04-22,88.89,WM SUPERCENTER #4524,shopping
2025-04-22,29.03,TST* ROOSTERS  - DIXIE HW,fastfood
2025-04-23,24.48,PAYPAL *STEAM GAMES,entertainment
2025-04-23,24.48,PAYPAL *STEAM GAMES,entertainment
2025-04-23,8.01,VIET HOA FOOD MARKET,groceries
2025-04-23,92.02,SAMSCLUB #8276,groceries
2025-04-23,4.75,SAMSCLUB #8276,groceries
2025-04-23,-20.98,Refund: PAYPAL *STEAM GAMES,entertainment
2025-04-25,5.30,FIVE BELOW 7165,shopping
2025-04-25,9.54,FIVE BELOW 7165,shopping
2025-04-25,18.21,WAL-MART #4524,groceries
2025-04-25,10.47,KROGER #785,groceries
2025-04-25,29.66,LOWES #00705*,shopping
2025-04-27,4.62,THORNTONS #0050,transport
2025-04-27,-8.12,Refund: CREDIT-CASH BACK REWARD,shopping
2025-04-28,1.05,PAYPAL *EPIC GAMES,shopping
2025-04-28,5.29,PAYPAL *EPIC GAMES,shopping
2025-04-28,37.96,CIRCLE K 03228,transport
2025-04-28,12.50,CIRCLE K 03228,transport
2025-04-28,7.43,PAYPAL *EPIC GAMES,shopping
2025-04-28,34.85,MEIJER STORE #162,groceries
2025-04-28,14.80,LOWES #00705*,shopping
2025-04-29,47.82,WM SUPERCENTER #4524,shopping
2025-04-29,0.99,APPLE.COM/BILL,bills
2025-04-30,4.01,PAYPAL *EPIC GAMES,shopping
2025-04-30,-299.70,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-04-30,-500.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-04-30,26.18,Wm Superc 5360 Dixie H,shopping
2025-05-01,400.00,Venmo Payment,shopping
2025-05-02,10.04,AMAZON MKTPL*NI31T8FM2,shopping
2025-05-05,50.71,Sams Club Sam S Club,shopping
2025-05-05,9.80,Kroger 7 4915A Dixie,groceries
2025-05-05,26.26,Penn Station 93,shopping
2025-05-05,19.06,Jimmy Johns 4387,fastfood
2025-05-06,-111.03,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-05-07,49.14,Wal Mart 4524,groceries
2025-05-08,51.62,Wm Superc 5360 Dixie H,shopping
2025-05-09,26.46,Hobbylobb 6801 Dixie H,shopping
2025-05-11,10.65,APPLE.COM/BILL,bills
2025-05-12,10.01,Kroger 7 4915A Dixie,groceries
2025-05-12,33.73,SHELL OIL x0054 CAVE CITY * KY,transport
2025-05-12,17.35,Circle K 03228 5203 Gr,transport
2025-05-12,-505.74,Refund: DDA PURCH REF x4001 HOBBYLOBB 6801 DIXIE H,shopping
2025-05-13,-10.65,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-05-13,16.84,Wm Superc 5360 Dixie H,shopping
2025-05-13,107.87,Samsclub 8276,groceries
2025-05-13,2.10,Circle K 03228,transport
2025-05-14,38.84,INTEREST CHARGE:PURCHASES,bills
2025-05-14,34.43,Tst Roosters Dixie H,fastfood
2025-05-15,8.00,Sq Kona Ice Etown,shopping
2025-05-17,31.79,OCULUS *KC62LRY5Z2,shopping
2025-05-19,8.11,INDIS FAST FOOD,shopping
2025-05-19,2.51,Circle K 03228 5203 Gr,transport
2025-05-19,50.00,Target Card Srvc Payment,shopping
2025-05-19,3.18,Wm Superc 5360 Dixie H,shopping
2025-05-19,4.91,Kroger 7 4915A Dixie,groceries
2025-05-19,10.07,Wm Superc 10445 Dixie,shopping
2025-05-20,52.99,PAYPAL *STEAM GAMES,entertainment
2025-05-20,6.39,APPLE.COM/BILL,bills
2025-05-20,13.67,TST* ROOSTERS  - DIXIE HW,fastfood
2025-05-21,7.73,THORNTONS #0050,transport
2025-05-21,21.20,FSP*KENTUCKY DERBY MUSEUM,shopping
2025-05-21,38.26,KROGER FUEL #8785,groceries
2025-05-23,16.26,TEXAS ROADHOUSE #2041,shopping
2025-05-26,3.17,PAYPAL *STEAM GAMES,entertainment
2025-05-26,59.07,SAMS CLUB #8276,shopping
2025-05-26,22.62,SAMS CLUB #8276,shopping
2025-05-27,10.49,CIRCLE K 03228,transport
2025-05-27,6.28,Wm Superc 5360 Dixie H,shopping
2025-05-29,9.71,VIET HOA FOOD MARKET,groceries
2025-05-29,-19.04,Refund: SAMSCLUB #8276,groceries
2025-05-29,0.99,APPLE.COM/BILL,bills
2025-05-29,11.62,Samsclub 8276,groceries
2025-05-30,14.60,CINEMARK 1092 ONLINE,entertainment
2025-05-30,-300.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-05-31,-250.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-06-01,8.06,WM SUPERCENTER #4524,shopping
2025-06-02,12.89,Amazon.com*N62V83LF0,shopping
2025-06-02,264.99,GOOGLE *Google One,shopping
2025-06-02,14.82,CINEMARK 1092 ONLINE,entertainment
2025-06-02,400.00,Venmo Payment,shopping
2025-06-02,85.30,Target Card Srvc Payment,shopping
2025-06-02,25.00,Venmo Payment,shopping
2025-06-03,3.70,Speedway 5339 Dixie H,transport
2025-06-03,33.59,Kroger Fu 4915 Dixie H,groceries
2025-06-04,6.46,Wm Superc 5360 Dixie H,shopping
2025-06-05,42.64,APPLE.COM/BILL,bills
2025-06-06,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-06-09,-35.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-06-10,40.67,Wm Superc 5360 Dixie H,shopping
2025-06-11,10.65,APPLE.COM/BILL,bills
2025-06-11,21.19,OCULUS *29WZKR86Z2,shopping
2025-06-11,21.19,OCULUS *BEXZKR86Z2,shopping
2025-06-11,42.51,Wal Mart 4524,groceries
2025-06-11,28.09,Kroger Fu 4915 Dixie H,groceries
2025-06-11,67.31,Samsclub 8276,groceries
2025-06-11,14.78,Sams Club 6622 Preston,shopping
2025-06-13,22.32,OLLIES BARGAIN OUTLET 121,shopping
2025-06-13,34.52,INTEREST CHARGE:PURCHASES,bills
2025-06-14,31.87,SAMSCLUB #8276,groceries
2025-06-15,9.41,WAL-MART #4524,groceries
2025-06-16,10.59,KROGER #785,groceries
2025-06-16,6.29,Wm Superc 5360 Dixie H,shopping
2025-06-16,28.25,Viet Hoa Food Market,groceries
2025-06-19,74.56,SAMSCLUB #8276,groceries
2025-06-20,11.66,Sams Club 6622 Preston,shopping
2025-06-22,-5.46,Refund: CREDIT-CASH BACK REWARD,shopping
2025-06-22,-55.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-06-23,6.88,KROGER #785,groceries
2025-06-23,2.29,Kroger 7 4915A Dixie,groceries
2025-06-23,3.13,Circle K 03228 5203 Gr,transport
2025-06-23,32.61,Circle K 03228 5203 Gr,transport
2025-06-23,10.60,Venmo Payment,shopping
2025-06-25,43.34,New Albanian Brewing Com,shopping
2025-06-27,49.34,PAYPAL *STEAM GAMES,entertainment
2025-06-27,7.94,PAYPAL *STEAM GAMES,entertainment
2025-06-28,12.71,PAYPAL *EPIC GAMES,shopping
2025-06-29,86.24,PAYPAL *LAGOSEC INC,shopping
2025-06-29,74.40,SAMSCLUB #8276,groceries
2025-06-29,7.85,PAYPAL *EPIC GAMES,shopping
2025-06-29,8.33,PAYPAL *EPIC GAMES,shopping
2025-06-29,5.97,PAYPAL *EPIC GAMES,shopping
2025-06-29,0.99,APPLE.COM/BILL,bills
2025-07-01,35.48,TST* ROOSTERS  - DIXIE HW,fastfood
2025-07-01,-400.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-01,-201.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-01,7.09,Circle K 03228 5203 Gr,transport
2025-07-02,300.00,Venmo Payment,shopping
2025-07-04,-66.22,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-06,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-07,30.00,Target Card Srvc Payment,shopping
2025-07-08,38.93,Kroger Fuel 878 4915 Di,groceries
2025-07-08,-708.90,Refund: Visa Dda Ref 444500 Sams Club 8276,shopping
2025-07-09,13.04,PAYPAL *FANATICAL FANAT,shopping
2025-07-09,35.30,Target Card Srvc Payment,shopping
2025-07-10,25.00,NJ EZPASS,transport
2025-07-11,10.65,APPLE.COM/BILL,bills
2025-07-11,33.15,Wm Superc 5360 Dixie H,shopping
2025-07-11,35.38,Jimmy Johns 4387,fastfood
2025-07-12,-25.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-14,34.10,INTEREST CHARGE:PURCHASES,bills
2025-07-14,-23.69,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-15,9.41,Circle K 03228 5203 Gr,transport
2025-07-16,3.17,PAYPAL *STEAM GAMES,entertainment
2025-07-16,3.17,PAYPAL *STEAM GAMES,entertainment
2025-07-17,6.97,Kroger 780 10645 Dixie,groceries
2025-07-17,8.44,Cinemark 1092 Rstbar,entertainment
2025-07-18,109.96,JM AUTO LLC,shopping
2025-07-18,1.06,Five Belo 10435 Dixie,shopping
2025-07-18,7.72,Circle K 03228 5203 Gr,transport
2025-07-19,73.35,SAMS CLUB #8276,shopping
2025-07-19,11.62,SAMS CLUB #8276,shopping
2025-07-21,-75.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-22,31.79,OCULUS *VNHM7VC6Z2,shopping
2025-07-23,25.79,AMAZON MKTPL*OE43839E3,shopping
2025-07-23,35.59,Kroger Fuel Ctr 10649 Di,groceries
2025-07-25,3.13,Circle K 03228 5203 Gr,transport
2025-07-25,3.04,Thorntons 0050 0050,transport
2025-07-26,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-28,2.51,Circle K 03228 5203 Gr,transport
2025-07-28,23.12,Target Card Srvc Payment,shopping
2025-07-28,19.28,Sams Club 6622 Preston,shopping
2025-07-29,0.99,APPLE.COM/BILL,bills
2025-07-30,-150.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-07-30,2.11,Taco Bell 22842 Mount Washing * Ky,fastfood
2025-07-30,24.04,Taco Bell 22842 Mount Washing * Ky,fastfood
2025-07-31,35.44,Pilot 0392 Sonora * Ky,shopping
2025-07-31,300.00,Venmo Payment,shopping
2025-07-31,19.44,Woo Hoo Ii Elizabethtown * Ky,shopping
2025-08-01,5.93,PAYPAL *STEAM GAMES,entertainment
2025-08-01,154.76,Target Card Srvc Payment,shopping
2025-08-01,200.00,Affirm Inc Affirm Pay,shopping
2025-08-01,38.28,Affirm Inc Affirm Pay,shopping
2025-08-03,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-08-04,43.16,Wal Mart 4524,groceries
2025-08-04,4.91,Kroger 785 4915A Dixie,groceries
2025-08-04,44.72,Wm Superc 5360 Dixie H,shopping
2025-08-07,72.59,Wm Superc 5360 Dixie H,shopping
2025-08-08,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-08-08,10.60,Venmo Payment,shopping
2025-08-08,22.41,Rf Kort 888 644 0001 * Ky,shopping
2025-08-11,10.65,APPLE.COM/BILL,bills
2025-08-11,38.53,Wm Superc 5360 Dixie H,shopping
2025-08-12,18.53,PAYPAL *STEAM GAMES,entertainment
2025-08-14,29.02,INTEREST CHARGE:PURCHASES,bills
2025-08-14,74.73,Wm Superc 5360 Dixie H,shopping
2025-08-16,9.99,Google YouTube Member,bills
2025-08-18,35.67,Circle K 03228,transport
2025-08-19,8.11,Indis Fast Food,shopping
2025-08-20,6.25,Circle K 03228 5203 Gr,transport
2025-08-21,12.75,PP*HUMBLEBUNDL HUMBLEBUND,shopping
2025-08-21,20.66,PAYPAL *STEAM GAMES,entertainment
2025-08-21,13.31,PP*HUMBLEBUNDL,shopping
2025-08-21,4.90,Kroger 785 4915A Dixie,groceries
2025-08-25,12.92,Wal Mart 4524,groceries
2025-08-26,10.96,Venmo Payment,shopping
2025-08-26,8.48,Circle K 03228,transport
2025-08-27,171.33,SAMSCLUB #8276,groceries
2025-08-27,14.82,Samsclub 8276,groceries
2025-08-27,23.10,Tst Roosters Dixie H,fastfood
2025-08-28,72.71,RF *KORT,shopping
2025-08-29,-74.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-08-29,0.99,APPLE.COM/BILL,bills
2025-08-31,-250.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-09-02,-11.82,Refund: SAMS CLUB #8276,shopping
2025-09-02,300.00,Venmo Payment,shopping
2025-09-02,200.00,Affirm Inc Affirm Pay,shopping
2025-09-02,2.50,Wal Mart 4524,groceries
2025-09-02,11.89,Wm Superc 5360 Dixie H,shopping
2025-09-02,31.66,Wal Mart 4524,groceries
2025-09-02,35.98,Circle K 03228 5203 Gr,transport
2025-09-03,89.18,Wm Superc 5360 Dixie H,shopping
2025-09-03,141.07,Target Card Srvc Payment,shopping
2025-09-03,10.00,Venmo Payment,shopping
2025-09-04,11.50,SIMPLERAISE.COM,shopping
2025-09-05,16.19,Thorntons 0050 0050,transport
2025-09-06,23.28,PAYPAL *STEAM GAMES,entertainment
2025-09-07,-75.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-09-08,10.00,Venmo Payment,shopping
2025-09-08,5.86,Wm Superc 5360 Dixie H,shopping
2025-09-09,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-09-09,32.53,Circle K 03228 5203 Gr,transport
2025-09-10,10.59,PAYPAL *STEAM GAMES,entertainment
2025-09-10,-10.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-09-10,7.89,Speedway 44065,transport
2025-09-10,9.81,Cinemark 1092 Boxcon,entertainment
2025-09-11,10.65,APPLE.COM/BILL,bills
2025-09-11,49.24,Wal Mart 4524,groceries
2025-09-12,10.59,PAYPAL *STEAM GAMES,entertainment
2025-09-12,99.99,GOOGLE ONE 650 x0000 * CA,shopping
2025-09-13,4.99,PP*GOOGLE YOUTUBE SUBSCRI,bills
2025-09-13,26.11,INTEREST CHARGE:PURCHASES,bills
2025-09-15,61.83,Walgreens Store 5100 Dix,gym
2025-09-15,10.48,Wal Mart 4524,groceries
2025-09-16,9.99,GOOGLE *YouTube Member,shopping
2025-09-16,30.66,Circle K 00111 9200 Di,transport
2025-09-17,11.00,SIMPLERAISE.COM,shopping
2025-09-18,17.18,Sams Club 8276,shopping
2025-09-22,55.00,SQ *LINCOLN HERITAGE COUN,shopping
2025-09-22,14.76,Kroger Fuel 878 4915 Di,groceries
2025-09-22,11.72,Iga Express 88 Cave City * Ky,shopping
2025-09-22,7.61,Circle K 03228,transport
2025-09-23,450.62,GEICO  *AUTO,bills
2025-09-23,55.00,SQ *LINCOLN HERITAGE COUN,shopping
2025-09-23,60.48,Wm Supercenter 4524,shopping
2025-09-24,-5.57,Refund: CREDIT-CASH BACK REWARD,shopping
2025-09-24,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-09-24,5.99,Viet Hoa Food Market,groceries
2025-09-24,11.62,Sam S Club,shopping
2025-09-25,190.04,Target Card Srvc Payment,shopping
2025-09-25,38.65,Venmo Payment,shopping
2025-09-26,7.20,Circle K 03228 5203 Gr,transport
2025-09-28,36.58,CIRCLE K 03228,transport
2025-09-29,0.99,APPLE.COM/BILL,bills
2025-09-29,67.31,Wal Mart 4524,groceries
2025-09-29,17.99,Domino S 1436,fastfood
2025-09-30,45.47,SAMS CLUB #8276,shopping
2025-09-30,9.08,PAYPAL *ETSY INC,shopping
2025-09-30,11.62,Sams Club 8276,shopping
2025-10-01,-200.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-02,14.83,PAYPAL *STEAM GAMES,entertainment
2025-10-02,68.40,Wm Supercenter 4524,shopping
2025-10-02,75.81,Target Card Srvc Payment,shopping
2025-10-02,300.00,Venmo Payment,shopping
2025-10-02,200.00,Affirm.Com Payme Affirm.Com,shopping
2025-10-03,4.23,PAYPAL *STEAM GAMES,entertainment
2025-10-03,23.84,PAYPAL *STEAM GAMES,entertainment
2025-10-03,21.19,PAYPAL *STEAM GAMES,entertainment
2025-10-03,7.94,PAYPAL *STEAM GAMES,entertainment
2025-10-03,-98.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-03,4.22,Hobbylobby,shopping
2025-10-04,-97.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-06,-110.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-06,47.22,Jimmy Johns 4387,fastfood
2025-10-06,11.65,Hobbylobby,shopping
2025-10-07,31.79,PAYPAL *STEAM GAMES,entertainment
2025-10-07,2.51,Circle K 03228,transport
2025-10-08,803.48,Amazon.com*NF41B8XM0,shopping
2025-10-08,48.93,Wm Supercenter 4524,shopping
2025-10-09,5.00,Venmo Payment,shopping
2025-10-10,-14.50,Refund: CREDIT-CASH BACK REWARD,shopping
2025-10-11,74.19,PAYPAL *STEAM GAMES,entertainment
2025-10-11,4.76,PAYPAL *EPIC GAMES,shopping
2025-10-11,24.51,Nintendo CA1481496780,entertainment
2025-10-11,10.65,APPLE.COM/BILL,bills
2025-10-14,-9.62,Refund: APPLE.COM/BILL,bills
2025-10-14,32.05,INTEREST CHARGE:PURCHASES,bills
2025-10-14,6.35,Hobbylobby,shopping
2025-10-14,27.93,Kroger 785,groceries
2025-10-14,1.58,Hobbylobby,shopping
2025-10-14,40.26,Thorntons 0050 0050,transport
2025-10-15,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-15,8.26,Wawa 7604,transport
2025-10-15,2.51,Circle K 03228,transport
2025-10-16,6.25,Circle K 03228,transport
2025-10-19,9.99,GOOGLE *YouTube Member,shopping
2025-10-20,11.98,Viet Hoa Food Market,groceries
2025-10-21,39.54,Wal Mart 1170,groceries
2025-10-21,14.82,Sams Club 8276,shopping
2025-10-22,6.28,Wm Supercenter 4524,shopping
2025-10-22,7.67,Viet Hoa Food Market,groceries
